BASEPARTNUMBER,PLANTCODE,PROCESSLOCATION1,RCMID,PACKRANKNAME,PACKTYPECODE,CONTAINERQUANTITY,CONTAINERPERPALLET,PARTWEIGHT,TDPVERSION,PERPACKDUNNAGEPIECES,PACKLENGTH,PACKWIDTH,PACKHEIGHT,PACKEMPTYWEIGHT,CONTAINERSPERPALLET,QUANTITYPERCONTAINER,TOOLINGNUMBER,CELLDIMLENGTH,CELLDIMWIDTH,CELLDIMHEIGHT,OVERALLPACKLENGTH,OVERALLPACKWIDTH,OVERALLPACKHEIGHT,OVERALLPACKWEIGHT,PALLETWEIGHT,TRAILERSTACKING
39770TZ3 C600M1,MAP,06135009,C2005721,BR,C2,30,4,0.1500,2,1,23.62,22.18,7.25,9.6,4,30,NULL,6.18,1.56,5.69,45.0000,48.0000,46.0000,332.9600,56.0000,2
39770TZ3 X100M1,MAP,06135009,C2005340,BR,C2,30,4,0.3000,1,1,23.62,22.18,7.25,9.6,4,30,,4,4,5,45.0000,48.0000,46.0000,310.4000,56.0000,2
39770TZ3 Y000M1,MAP,06135009,C2005340,BR,C2,30,4,0.3000,1,1,23.62,22.18,7.25,9.6,4,30,,4,4,5,45.0000,48.0000,46.0000,310.4000,56.0000,2
39771TVA A000,MAP,02132001,D1,C,D1,30,8,0.2600,1,0,23.75,11.12,7.25,5.8,8,30,120,0,0,0,45.0000,48.0000,32.5000,241.6000,56.0000,3
39771TX6 A000,MAP,02132001,C2,C,C2,60,1,0.2400,1,1,23.62,22.18,7.25,9.6,1,60,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,2
39771TZ3 A000,MAP,12051001,C2,C,C2,30,4,0.4100,1,1,23.62,22.18,7.25,9.6,4,30,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,2
39794SDA 9000M1,MAP,03238005,XX,D,XX,600,1,NULL,1,0,24,22,8,2,1,600,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2
39794SDA A000M3,MAP,15079201,XX,D,XX,800,1,NULL,1,0,13.25,7.25,10,3.72,1,800,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1
39794T7A 9000M1,MAP,14029024,XX,D,XX,480,1,0.0500,1,0,13.58,10.43,3.35,0.24,1,480,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1
39794TBA A000M1,MAP,14029024,XX,D,XX,480,1,NULL,1,0,13.58,10.43,3.35,0.34,1,480,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1
